StateId;StateCode;StateName;Country_code
1;BAD;Badakhshan;AFG
2;BAG;Badgis;AFG
3;BAL;Baglan;AFG
4;BKK;Balkh;AFG
5;BAM;Bamiyan;AFG
6;FAR;Farah;AFG
7;FAR;Faryab;AFG
8;GAW;Gawr;AFG
9;GAZ;Gazni;AFG
10;HER;Herat;AFG
11;HIL;Hilmand;AFG
12;JAW;Jawzjan;AFG
13;KAB;Kabul;AFG
14;KAP;Kapisa;AFG
15;KHA;Khawst;AFG
16;KUN;Kunar;AFG
17;LAG;Lagman;AFG
18;LAW;Lawghar;AFG
19;NAN;Nangarhar;AFG
20;NIM;Nimruz;AFG
21;NUR;Nuristan;AFG
22;PAK;Paktika;AFG
23;PAK;Paktiya;AFG
24;PAR;Parwan;AFG
25;QAN;Qandahar;AFG
26;QUN;Qunduz;AFG
27;SAM;Samangan;AFG
28;TAK;Takhar;AFG
29;URU;Uruzgan;AFG
30;WAR;Wardag;AFG
31;ZAB;Zabul;AFG
32;BER;Berat;ALB
35;BLQ;Bulqize;ALB
36;DEL;Delvine;ALB
37;DEV;Devoll;ALB
38;DBR;Dibre;ALB
40;DRS;Durres;ALB
42;ELS;Elbasan;ALB
45;FIE;Fier;ALB
48;GJK;Gjirokaster;ALB
50;GRM;Gramsh;ALB
51;HAS;Has;ALB
52;KAV;Kavaje;ALB
53;KLN;Kolonje;ALB
55;KRC;Korce;ALB
57;KRU;Kruje;ALB
61;KCV;Kucove;ALB
62;KKC;Kukes;ALB
63;KRB;Kurbin;ALB
64;LZH;Lezhe;ALB
66;LBZ;Librazhd;ALB
68;LSH;Lushnje;ALB
70;MLK;Mallakaster;ALB
71;MAT;Mat;ALB
75;MDT;Mirdite;ALB
78;PEQ;Peqin;ALB
79;PMT;Permet;ALB
81;PGR;Pogradec;ALB
82;PUK;Puke;ALB
85;SAR;Sarande;ALB
87;SHK;Shkoder;ALB
88;SKR;Skrapar;ALB
89;TPL;Tepelene;ALB
91;TIR;Tirane;ALB
92;BIS;Biskrah;DZA
93;BLI;Blidah;DZA
94;EAS;Eastern;ASM
95;MAN;Manu'a;ASM
96;WES;Western;ASM
97;CAN;Canillo;AND
98;ENC;Encamp;AND
99;ORD;Ordino;AND
100;BEN;Bengo;AGO
101;BNG;Benguela;AGO
102;BIE;Bie;AGO
103;CAB;Cabinda;AGO
104;CUN;Cunene;AGO
105;HUA;Huambo;AGO
106;HUI;Huila;AGO
107;KUA;Kuando-Kubango;AGO
108;LUA;Luanda;AGO
109;MAL;Malanje;AGO
110;MOX;Moxico;AGO
111;NAM;Namibe;AGO
112;UIG;Uige;AGO
113;ZAI;Zaire;AGO
114;BAR;Barbuda;ATG
115;CAT;Catamarca;ARG
116;CHA;Chaco;ARG
117;CHU;Chubut;ARG
118;COR;Cordoba;ARG
119;COR;Corrientes;ARG
120;FOR;Formosa;ARG
121;JUJ;Jujuy;ARG
122;MEN;Mendoza;ARG
123;MIS;Misiones;ARG
124;NEU;Neuquen;ARG
125;SAL;Salta;ARG
126;TUC;Tucuman;ARG
127;SFE;Santa Fe;ARG
128;ARA;Aragatsotn;ARM
129;ARA;Ararat;ARM
130;ARM;Armavir;ARM
131;GEG;Gegharkunik;ARM
132;KOT;Kotaik;ARM
133;LOR;Lori;ARM
134;SHI;Shirak;ARM
135;STE;Stepanakert;ARM
136;SYU;Syunik;ARM
137;TAV;Tavush;ARM
138;YER;Yerevan;ARM
139;ABW;Aruba;ABW
140;VIC;Victoria;AUS
141;SA;South Australia;AUS
142;BUR;Burgenland;AUT
143;KAR;Karnten;AUT
144;ABS;Abseron;AZE
145;GAN;Ganca;AZE
146;GAN;Ganja;AZE
147;KAL;Kalbacar;AZE
148;ABA;Abaco;BHS
149;AND;Andros;BHS
150;BIM;Biminis;BHS
151;ELE;Eleuthera;BHS
152;MAY;Mayaguana;BHS
153;ISA;Isa;BHR
154;BAD;Badiyah;BHR
155;HID;Hidd;BHR
156;MAH;Mahama;BHR
157;SIT;Sitrah;BHR
158;MAN;al-Manamah;BHR
159;RIF;ar-Rifa'a;BHR











